71, 115, 0.02612550000048941
71, 114, 0.09131170000182465
70, 114, 0.11931810000169207
69, 114, 0.1779616999992868
69, 113, 0.2092125000017404
69, 113, 0.24338650000208872
68, 113, 0.3032810000004247
68, 112, 0.3331830999995873
63, 113, 0.3871925999992527
62, 113, 0.42586970000047586
54, 114, 0.4586100999986229
53, 115, 0.4889346000018122
44, 120, 0.5192057999993267
44, 120, 0.5524076000001514
37, 130, 0.5839147000006051
36, 130, 0.6144378999997571
36, 130, 0.6480959000000439
35, 139, 0.6767142999997304
39, 147, 0.7098230000010517
38, 147, 0.7409017999998468
45, 146, 0.7833654999994906
46, 146, 0.8108169000006455
53, 140, 0.8497915000007197
53, 140, 0.8821252999987337
60, 132, 0.9126756000005116
60, 131, 0.9435272000009718
66, 124, 0.9743443000006664
66, 123, 1.009007600001496
66, 123, 1.036969400000089
68, 118, 1.0706228999988525
69, 117, 1.1062382999989495
69, 117, 1.147504200002004
69, 122, 1.1859302000011667
68, 122, 1.2254047999995237
68, 131, 1.256742599998688
68, 132, 1.2868722999992315
69, 138, 1.3198866000020644
68, 139, 1.3462705999991158
77, 138, 1.383138199998939
77, 137, 1.4135510999985854
89, 131, 1.4450476999991224
89, 131, 1.4759549000009429
100, 124, 1.5056398000015179
100, 124, 1.5381965000015043
105, 119, 1.5732723000000988
107, 118, 1.6025482000004558
107, 118, 1.6534384000005957
107, 118, 1.6962705000005371
104, 120, 1.7264047999997274
103, 121, 1.7599145999993198
95, 128, 1.7881349000017508
95, 128, 1.8262696999991022
89, 137, 1.866994899999554
88, 136, 1.9011529000017617
85, 144, 1.932933399999456
84, 145, 1.962788000000728
87, 148, 1.992151800001011
87, 148, 2.0258035000006203
96, 143, 2.062117000001308
96, 144, 2.091842699999688
103, 137, 2.117652100001578
103, 136, 2.1514806999985012
107, 129, 2.192757699998765
107, 128, 2.2258328999996593
106, 124, 2.2559225000004517
107, 123, 2.293864200000826
106, 121, 2.3344254000003275
106, 121, 2.3675660000008065
106, 122, 2.399208800001361
106, 122, 2.4292650999996113
107, 129, 2.4610911999989185
107, 129, 2.4903889000015624
110, 134, 2.5224976999998034
111, 135, 2.556945899999846
119, 131, 2.598940899999434
119, 131, 2.632921100001113
126, 125, 2.66409399999975
127, 124, 2.695440100000269
131, 121, 2.7247248999992735
132, 120, 2.758206499998778
133, 122, 2.7847255999986373
134, 121, 2.82043590000103
133, 127, 2.8513920000004873
133, 127, 2.8835956000002625
132, 133, 2.9153035000017553
132, 133, 2.9457580000016605
138, 133, 2.9806074000007357
138, 134, 3.025287100001151
147, 134, 3.0550464000007196
146, 134, 3.0901674999986426
151, 135, 3.117360899999767
151, 136, 3.1516827999985253
149, 141, 3.1820989000007103
149, 141, 3.2121938000018417
146, 150, 3.2441370000015013
146, 150, 3.2758084000015515
140, 160, 3.305627199999435
141, 159, 3.3392353000017465
130, 169, 3.379759399998875
129, 168, 3.41743950000091
122, 168, 3.4467242999999144
121, 170, 3.481249899999966
124, 164, 3.509754900002008
123, 163, 3.54435039999953
132, 156, 3.5733184999990044
133, 154, 3.608566200000496
145, 146, 3.6361617000002298
145, 144, 3.6693316000018967
156, 137, 3.699305900001491
157, 135, 3.7334455999989586
165, 128, 3.7760527999998885
165, 128, 3.810252200000832
169, 124, 3.8444406000016897
169, 123, 3.8877447999984724
169, 122, 3.917661200001021
169, 122, 3.9512133999996877
167, 124, 3.9808149000018602
166, 124, 4.009666000001744
164, 131, 4.043518599999516
164, 131, 4.076476599999296
162, 140, 4.105408700001135
162, 141, 4.139795099999901
164, 149, 4.178735100002086
165, 148, 4.217839799999638
170, 151, 4.246475500000088
170, 151, 4.280319100002089
175, 147, 4.310119000001578
176, 147, 4.342231800001173
179, 141, 4.373751999999513
179, 140, 4.406630299999961
181, 132, 4.435999000001175
181, 131, 4.469623299999512
181, 128, 4.499432100001286
181, 128, 4.531855600002018
180, 129, 4.564154799998505
180, 129, 4.594458899999154
179, 135, 4.641935200001171
180, 136, 4.670477200001187
182, 145, 4.705367099999421
183, 145, 4.751467400001275
188, 149, 4.778374800000165
188, 150, 4.814679499999329
195, 146, 4.856328099998791
195, 147, 4.8893085999989125
198, 140, 4.920284899999388
198, 140, 4.949074100000871
196, 134, 4.983452500000567
197, 134, 5.011531600001035
195, 128, 5.043900799999392
195, 129, 5.077203299999383
196, 126, 5.108533999999054
196, 126, 5.140895200001978
202, 124, 5.17133929999909
201, 124, 5.204610100001446
207, 124, 5.235504700001911
206, 125, 5.266538500000024
208, 126, 5.300655899998674
209, 127, 5.342443199999252
209, 132, 5.374455799999851
209, 133, 5.407243800000288
211, 138, 5.436362700002064
211, 139, 5.475056200000836
215, 146, 5.508668700000271
215, 146, 5.54865079999945
222, 150, 5.578420099998766
221, 152, 5.611272199999803
230, 152, 5.645368699999381
231, 152, 5.674906600001123
244, 149, 5.70465250000052
242, 148, 5.736955600001238
251, 143, 5.767363599999953
251, 142, 5.802754799999093
255, 135, 5.845884900001693
253, 136, 5.880912900000112
251, 129, 5.909278600000107
251, 129, 5.938271600000007
246, 125, 5.975410099999863
246, 125, 6.0058320999996795
239, 126, 6.0358737999995355
239, 126, 6.065816499998618
233, 132, 6.104121399999713
232, 132, 6.146429600001284
230, 141, 6.174935800001549
229, 143, 6.207955800000491
233, 150, 6.243370600001072
232, 150, 6.287774700002046
242, 153, 6.318990499999927
243, 152, 6.350400200000877
255, 151, 6.379779099999723
253, 151, 6.414658199999394
263, 146, 6.443966300001193
262, 146, 6.476723899999342
268, 139, 6.505080300001282
268, 139, 6.540974200001074
272, 131, 6.5687939999988885
272, 131, 6.601930799999536
275, 127, 6.632865800002037
274, 127, 6.663861100001668
276, 126, 6.695608099998935
276, 126, 6.725642699999298
277, 128, 6.768622600000526
277, 129, 6.802609900001698
279, 134, 6.8373133999994025
279, 135, 6.865472699999373
279, 142, 6.897367800000211
280, 142, 6.928860299998632
275, 149, 6.962758599998779
275, 149, 6.989412499999162
267, 153, 7.0274881000004825
268, 153, 7.072074300001987
262, 152, 7.1134363999990455
263, 151, 7.146631100000377
264, 150, 7.175463100000343
265, 150, 7.208926999999676
270, 151, 7.2376340000009804
270, 151, 7.270783100000699
280, 152, 7.301238700001704
279, 153, 7.330398099999002
290, 157, 7.362980099998822
289, 157, 7.399266299998999
301, 158, 7.441607600001589
300, 158, 7.4760940999985905
307, 158, 7.504037800001242
307, 159, 7.5384825000001
311, 159, 7.566344499999104
310, 160, 7.600275500000862
